
OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,112,-14,15,46.66,"1,865.10",141.40,50,"1,830.20","1,876.90",50,"15,800.00","6,200",0.25,0.30,"2,450",-0.85,0.25,51.31,"7,690","-3,032","9,764",
,2,-,-,-,"1,687.60",-,250,"1,770.80","1,841.65","1,500","15,850.00",400,0.30,0.50,"1,200",-0.85,0.30,49.98,756,-147,393,
,38,-4,11,87.08,"1,788.20",72.85,50,"1,728.70","1,775.55",50,"15,900.00",950,0.25,0.35,950,-0.75,0.25,48.65,"5,451","-2,228","3,168",
,3,-,-,-,"1,181.80",-,150,"1,679.80","1,736.00",50,"15,950.00",200,0.35,0.65,"1,500",-0.85,0.35,47.99,437,-111,650,
,"3,974",-547,"1,300",-,"1,660.00",-71.00,50,"1,657.25","1,660.45",150,"16,000.00",50,0.40,0.45,"9,000",-0.75,0.45,47.24,"73,520","-17,434","45,553",
,51,-,-,-,"1,438.30",-,150,"1,586.15","1,610.25",50,"16,050.00",50,0.35,0.45,"1,300",-0.80,0.40,45.88,613,-175,504,
,73,-70,90,-,"1,552.55",-88.60,150,"1,550.75","1,558.70",200,"16,100.00","2,200",0.25,0.30,"5,250",-0.95,0.20,42.64,"7,485",-915,"5,174",
,61,-,1,102.93,"1,590.70",155.70,50,"1,492.60","1,516.75",50,"16,150.00",250,0.25,0.35,50,-0.95,0.30,42.02,"4,021",-116,"2,034",
,"1,024",-94,114,-,"1,457.00",-79.00,300,"1,451.20","1,455.90",200,"16,200.00","4,350",0.40,0.45,"4,500",-0.75,0.50,41.82,"18,859","-6,433","10,755",
,83,-,-,-,"1,322.20",-,50,"1,393.80","1,417.50",300,"16,250.00",600,0.40,0.45,"1,150",-0.95,0.40,40.47,"4,137",-557,"5,912",
,206,-47,101,-,"1,348.30",-91.70,"1,000","1,323.15","1,374.55","1,000","16,300.00","1,02,950",0.20,0.25,"14,650",-0.90,0.30,37.42,"32,864","-2,204","15,062",
,83,-,-,-,"1,272.65",-,300,"1,291.65","1,308.10",50,"16,350.00","2,250",0.40,0.50,50,-0.80,0.55,38.20,"2,934",-317,"2,253",
,879,-104,149,-,"1,257.50",-75.15,150,"1,249.80","1,256.35",200,"16,400.00","5,000",0.40,0.50,"3,200",-0.95,0.40,37.23,"52,798","-2,516","23,965",
,122,-1,1,59.11,"1,231.50",58.80,300,"1,188.95","1,207.10",50,"16,450.00",650,0.55,0.65,100,-0.75,0.70,36.85,"7,034",-381,"2,888",
,"2,959",-634,"1,186",-,"1,156.05",-80.90,100,"1,154.60","1,155.55",550,"16,500.00","31,600",0.45,0.50,"14,250",-0.90,0.50,34.48,"1,46,369","-18,704","44,010",
,36,-,7,62.32,"1,143.40",122.55,100,"1,089.20","1,108.70",100,"16,550.00",300,0.35,0.50,750,-1.25,0.30,33.43,"3,799","-1,178","1,532",
,"1,102",-75,87,62.89,"1,098.95",-38.65,850,"1,051.75","1,056.70",350,"16,600.00","8,700",0.30,0.35,"1,900",-1.15,0.35,30.13,"72,727","-18,289","15,809",
,215,-1,23,-,"1,003.50",14.55,100,"1,001.00","1,008.80",400,"16,650.00",500,0.50,0.55,400,-1.25,0.35,30.65,"8,750","-1,710","3,382",
,"2,492",-254,729,-,956.90,-81.90,400,954.45,956.85,150,"16,700.00","66,600",0.30,0.35,"5,200",-1.30,0.40,27.91,"1,38,086","-28,249","45,102",
,232,-61,80,54.13,945.00,-36.50,400,884.45,917.95,400,"16,750.00",100,0.40,0.45,200,-1.45,0.60,26.94,"17,591","-4,561","5,224",
,"15,274",-151,"1,584",-,856.05,-82.10,100,854.80,856.95,100,"16,800.00","4,750",0.55,0.65,"5,400",-1.75,0.50,26.72,"1,35,104","-21,006","48,288",
,263,-18,25,-,809.00,-71.95,550,782.75,815.95,450,"16,850.00",50,0.45,0.50,150,-1.90,0.55,24.52,"28,009","-3,558","5,608",
,"11,282",-244,"1,772",-,758.35,-82.00,450,755.05,757.15,"1,350","16,900.00",400,0.65,0.70,"2,800",-1.95,0.75,24.11,"1,62,852","-15,493","63,767",
,361,-40,153,-,695.70,-102.30,400,701.75,706.10,100,"16,950.00",350,0.55,0.60,"3,450",-2.50,0.60,22.47,"47,822","-5,465","6,140",
,"23,013","-2,024","9,353",-,654.45,-85.45,250,655.55,657.00,450,"17,000.00","17,850",0.85,0.90,"10,600",-2.60,0.90,21.95,"5,18,261","-27,855","1,31,651",
,869,-60,259,-,607.10,-83.90,450,603.70,606.20,250,"17,050.00","1,400",0.95,1.00,"4,400",-2.95,1.00,20.76,"1,27,836","-26,344","12,110",
,"12,445","-1,032","2,733",-,555.00,-84.05,450,555.35,556.70,50,"17,100.00","9,450",1.20,1.25,"2,500",-3.15,1.15,19.98,"3,09,126","-11,011","53,805",
,833,-61,696,-,506.45,-84.10,50,504.40,506.25,100,"17,150.00","2,300",1.30,1.35,"3,250",-3.15,1.45,18.53,"1,37,814","-9,170","12,100",
,"10,798","-1,854","6,633",-,455.20,-85.65,150,455.65,456.50,200,"17,200.00","18,700",1.55,1.60,"3,400",-3.35,2.00,17.48,"5,27,033","-14,480","77,912",
,"1,989",-146,630,-,408.00,-81.90,650,402.45,406.95,100,"17,250.00","1,400",1.95,2.00,400,-3.30,3.05,16.35,"2,76,366","-1,527","21,582",
,"13,514","-3,170","17,618",-,354.55,-88.40,50,356.55,357.35,400,"17,300.00",50,2.95,3.00,"3,000",-4.25,3.45,15.76,"7,50,554","13,716","85,272",
,"1,602",-109,"2,232",-,306.90,-87.10,50,308.05,309.40,100,"17,350.00","7,550",4.50,4.55,100,-4.60,5.00,15.18,"4,53,130","9,838","33,403",
,"21,837","-1,853","50,674",-,263.25,-83.85,200,262.15,262.80,400,"17,400.00","7,950",7.75,7.80,650,-4.45,7.80,15.06,"11,71,914",821,"78,622",
,"2,541",-791,"14,325",8.90,213.90,-86.95,300,216.35,217.60,150,"17,450.00",750,12.55,12.65,"1,650",-3.35,12.50,14.80,"8,20,377","20,409","49,089",
,"42,925","-24,856","3,07,924",11.13,173.00,-83.05,750,175.00,175.20,150,"17,500.00",200,20.30,20.35,"3,800",-0.45,20.80,14.70,"19,58,808","2,613","1,34,492",
,"6,950","-5,775","1,16,936",11.51,133.45,-78.95,50,134.50,134.80,50,"17,550.00",150,30.70,30.80,50,3.55,32.00,14.42,"8,97,391","8,738","34,499",
,"66,230","1,837","9,04,604",11.73,101.00,-71.65,50,99.60,99.65,200,"17,600.00",950,45.25,45.35,550,8.65,47.00,14.15,"25,61,149","-19,201","81,005",
,"49,962","30,546","9,55,026",12.02,70.00,-66.95,500,70.80,71.00,"2,200","17,650.00",150,65.70,65.95,300,12.50,65.00,14.10,"18,58,092","-5,265","27,468",
,"1,43,102","35,607","33,04,594",11.91,46.00,-59.60,300,46.50,46.65,400,"17,700.00",250,91.30,91.50,"1,100",21.00,92.00,14.04,"38,98,059","-34,099","53,160",
